Stage ID,Real Duration,Estimated Duration,Error,Error Percentage,Size,Error/AppDuration
33,274619,373327,98708,0.35943616428579234,34.169417425990105,0.013386384505817316
103,115183,123252,8069,0.07005374056935486,34.169417425990105,0.001094285534885115
104,132213,138888,6675,0.050486714619591117,34.169417425990105,9.052368255494041E-4
105,373310,343739,29571,0.07921298652594358,34.169417425990105,0.004010300849186731
46,114937,118569,3632,0.03159991995614989,34.169417425990105,4.925573259019379E-4
238,108277,123310,15033,0.13883834978804363,34.169417425990105,0.002038715385540703
47,125407,131856,6449,0.051424561627341374,34.169417425990105,8.745876086843606E-4
239,116755,102965,13790,0.11811057342297974,34.169417425990105,0.0018701446927829638
48,329060,360603,31543,0.09585789825563727,34.169417425990105,0.0042777356087348095
240,234584,248268,13684,0.058333049142311494,34.169417425990105,0.0018557693963772355
178,111003,122903,11900,0.107204309793429,34.169417425990105,0.0016138304455487506
179,110533,109546,987,0.008929459980277383,34.169417425990105,1.3385299577786696E-4
180,285581,319545,33964,0.11892948060270116,34.169417425990105,0.004606061954001492
126,109283,119365,10082,0.09225588609390299,34.169417425990105,0.0013672805505901262
63,110891,117921,7030,0.06339558665716785,34.169417425990105,9.533805069082115E-4
127,100604,169153,68549,0.6813744980318874,34.169417425990105,0.009296341446379941
0,208834,210954,2120,0.010151603666069701,36.99596106540412,2.487476085909445E-4
64,151863,157330,5467,0.03599955222799497,36.99596106540412,6.4146376234278E-4
128,354374,245615,108759,0.30690456974834496,36.99596106540412,0.012761104322048366
65,361977,286082,75895,0.20966801758122755,36.99596106540412,0.008905047053778177
3,86107,77623,8484,0.09852857491260873,36.99596106540412,9.95459769474327E-4
4,117395,123899,6504,0.055402700285361386,36.99596106540412,7.631388897525958E-4
5,169989,183574,13585,0.07991693580172834,36.99596106540412,0.001593979369201878
6,116697,124820,8123,0.06960761630547486,36.99596106540412,9.531022757472842E-4
7,396806,210828,185978,0.4686874694435064,36.99596106540412,0.021821501297418246
8,118421,126359,7938,0.06703202979201324,36.99596106540412,9.313955268843952E-4
9,446947,179217,267730,0.5990195705531081,36.99596106540412,0.03141377228681773
270,56174,38442,17732,0.31566205005874604,36.99596106540412,0.002080562545063504
207,131038,128726,2312,0.017643736931271845,36.99596106540412,2.7127569389729425E-4
208,124103,330,123773,0.9973409184306584,36.99596106540412,0.014522753659493856
209,305129,336462,31333,0.10268771568746334,36.99596106540412,0.0036764192547075777
18,127008,126276,732,0.005763416477702192,36.99596106540412,8.588832523045821E-5
82,129677,135238,5561,0.0428834720112279,36.99596106540412,6.524931374406804E-4
19,157983,124544,33439,0.21166201426735787,36.99596106540412,0.003923524190411601
83,146422,145867,555,0.003790414008823811,36.99596106540412,6.512024658866709E-5
20,346121,207235,138886,0.4012642977455861,36.99596106540412,0.016296019040925435
84,399421,309106,90315,0.22611480117470037,36.99596106540412,0.010597000127307148
151,128304,129199,895,0.0069756204015463275,36.99596106540412,1.0501373098532799E-4
152,146967,122201,24766,0.16851402015418426,36.99596106540412,0.002905888336963836
153,370819,252488,118331,0.31910716549044144,36.99596106540412,0.013884223241592008
31,130495,122068,8427,0.06457718686539714,36.99596106540412,9.887717441490044E-4
32,134381,146184,11803,0.08783235725288545,36.99596106540412,0.0013848905774523199
33,328777,403319,74542,0.22672510546662328,36.99596106540412,0.008746294452634994
103,128713,133477,4764,0.03701257837203701,36.99596106540412,5.589781166638018E-4
104,139356,151210,11854,0.08506271706995035,36.99596106540412,0.001390874600111819
105,403502,371092,32410,0.08032178279165902,36.99596106540412,0.003802787733222883
46,139925,128675,11250,0.08040021440057174,36.99596106540412,0.0013200049984189275
238,139119,133609,5510,0.03960638014936853,36.99596106540412,6.465091147811813E-4
47,152500,143198,9302,0.06099672131147541,36.99596106540412,0.0010914387995815877
239,149788,109342,40446,0.2700216305712073,36.99596106540412,0.004745681970315728
